status_label,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
failed,302.565,327.975,36.015,235.165,132.016,130.136,112.014,2849.663,625.705,740.865,0.0,199.15,297.73,79.066,573.388,625.705,110.707,390.54
alive,13.735,24.754,14.193,20.559,0.943,4.612,10.463,64.6247,45.313,134.518,25.885,6.366,20.559,14.608,31.556,45.313,89.47,24.754
failed,275.492,687.346,17.444,64.1,0.0,24.707,212.377,409.5102,956.009,744.567,217.638,46.656,268.663,128.11,129.303,956.009,365.03,891.909
alive,2599.038,12513.089,105.7,1081.896,2086.874,597.358,137.69,14017.2657,14873.61,13198.201,8818.75,976.196,2360.521,997.173,1928.83,14873.61,10041.416,13791.714
failed,13.128,0.021,0.222,-4.855,0.0,-3.818,0.078,52.0636,0.244,13.216,0.0,-5.077,0.223,0.428,-53.726,0.244,0.428,5.099
alive,0.363,0.0,0.008,-3.392,0.0,-3.847,0.0,4.7879,0.011,0.603,0.0,-3.4,0.011,6.779,-70.09,0.011,6.779,3.403
alive,2127.304,6643.345,162.495,799.528,1053.553,377.265,64.006,3136.7477,9077.997,4955.327,447.343,637.033,2434.652,1655.676,1512.459,9077.997,2232.316,8278.469
failed,558.056,1727.295,111.611,338.458,110.897,117.088,353.351,723.6946,2170.003,2552.55,1179.971,226.847,442.708,431.116,289.456,2170.003,1825.415,1831.545
alive,319.713,318.756,48.393,31.78,100.612,-46.364,81.084,1608.306,722.693,765.836,242.746,-16.613,403.937,305.842,-395.074,722.693,587.201,690.913
failed,651.969,841.083,19.739,123.487,311.77,100.125,15.857,1184.2387,1396.47,743.577,9.5,103.748,555.387,236.355,293.029,1396.47,330.725,1272.983
failed,82.184,85.314,21.352,-3.038,0.0,-161.849,17.991,199.5376,134.751,245.515,14.643,-24.39,49.437,65.765,-230.255,134.751,80.85,137.789
alive,5.939,0.995,0.426,-7.049,1.477,-7.086,0.77,84.8787,3.931,7.873,4.084,-7.475,2.936,10.091,-72.753,3.931,14.707,10.98
alive,21.987,22.101,2.793,-14.134,3.262,-13.508,15.52,11.8958,35.569,35.226,0.757,-16.927,13.468,37.952,-175.453,35.569,39.304,49.703
failed,98.772,185.89,10.886,12.526,43.202,-3.921,37.566,18.1249,212.96,190.516,83.815,1.64,27.07,22.875,-9.401,212.96,113.298,200.434
failed,1058.63,5570.81,172.652,459.764,284.484,119.929,674.778,1972.9849,7710.226,2606.227,745.245,287.112,2139.416,847.787,-43.979,7710.226,1995.671,7250.462
alive,7.925,22.351,2.526,4.229,3.535,0.338,2.139,20.2806,34.618,40.781,20.886,1.703,12.267,3.759,3.63,34.618,25.543,30.389
