X6,X8,X15,X1,X12,X7,status_label
130.136,2849.663,573.388,302.565,199.15,112.014,1
4.612,64.6247,31.556,13.735,6.366,10.463,0
24.707,409.5102,129.303,275.492,46.656,212.377,1
597.358,14017.2657,1928.83,2599.038,976.196,137.69,0
-3.818,52.0636,-53.726,13.128,-5.077,0.078,1
-3.847,4.7879,-70.09,0.363,-3.4,0.0,0
377.265,3136.7477,1512.459,2127.304,637.033,64.006,0
117.088,723.6946,289.456,558.056,226.847,353.351,1
-46.364,1608.306,-395.074,319.713,-16.613,81.084,0
100.125,1184.2387,293.029,651.969,103.748,15.857,1
-161.849,199.5376,-230.255,82.184,-24.39,17.991,1
-7.086,84.8787,-72.753,5.939,-7.475,0.77,0
-13.508,11.8958,-175.453,21.987,-16.927,15.52,0
-3.921,18.1249,-9.401,98.772,1.64,37.566,1
119.929,1972.9849,-43.979,1058.63,287.112,674.778,1
0.338,20.2806,3.63,7.925,1.703,2.139,0
-1.498,11.2651,-11.579,0.66,-1.181,0.057,0
-198.756,1125.4419,-1260.463,591.452,58.146,3.043,0
-103.1,35.7472,-1867.608,423.277,88.034,65.158,1
1353.903,7447.644,4257.324,5570.282,2018.406,2442.848,1
-149.943,3.2311,-168.843,99.408,-47.437,47.808,0
1.686,173.6377,-135.412,84.052,-0.807,9.094,0
-21.075,39.2129,-193.029,20.905,-20.168,0.063,0
356.646,3296.0623,1719.961,731.549,388.418,286.808,1
-205.921,1475.9227,-1580.885,760.819,-258.842,399.015,0
-10.795,194.4537,-362.953,11.407,-9.452,7.198,1
-5.128,246.5941,-24.451,2.409,-3.5,0.166,1
9.257,1362.5759,9.28,32.925,46.952,10.508,0
-21.216,112.515,171.071,400.295,44.405,190.686,0
-8.786,163.9181,-46.272,19.299,-8.119,8.154,0
-3.941,30.1933,-39.543,12.893,-4.722,3.505,0
-5.588,15.2789,-25.4,0.114,-4.924,0.0,1
534.6,12673.3485,943.9,2048.2,906.3,555.4,0
2.453,13.852,2.785,25.093,4.34,10.736,1
0.557,27.891,-29.381,8.173,0.936,3.306,0
-267.976,700.2632,-1217.577,771.619,216.567,238.953,0
-6.784,6.3998,-9.275,3.738,-1.12,0.04,1
766.0,14745.36,6543.0,2112.0,1143.0,494.0,0
-0.224,10.8969,5.187,17.931,0.082,7.772,0
2.507,16.8989,11.414,19.69,4.93,13.579,0
591.0,13345.146,20.8,3953.3,812.6,309.5,0
228.0,2235.534,190.0,2557.0,368.0,913.0,0
-40.161,1457.98,-469.785,299.733,-28.581,84.464,0
-22.054,9.4884,-241.38,4.512,-20.649,0.004,0
-56.908,19.0629,-123.848,34.648,-21.283,24.308,1
16.483,127.0939,74.417,220.404,27.358,97.78,1
-6.921,36.5586,-42.901,26.524,-12.048,7.286,1
27.345,193.343,33.247,128.731,18.005,13.346,0
-59.131,8.9402,-282.741,32.805,-21.202,15.027,1
-14.327,42.9627,-80.668,89.378,-4.022,8.275,1
1952.0,10200.0584,4634.3,9657.2,3106.6,3135.9,0
-6.209,21.6335,-12.08,0.481,-4.468,0.281,1
-10.686,43.4861,-278.175,21.033,-10.759,5.352,0
-150.097,459.0118,-187.091,89.472,35.427,50.299,1
5.445,69.506,127.149,99.256,12.899,47.093,0
29.956,289.0089,208.288,309.431,53.938,235.066,1
-0.921,14.1314,-63.698,0.021,-0.894,0.017,0
-44.006,1229.197,-130.553,548.838,90.582,205.644,0
-5.707,14.7616,-1.135,16.726,-1.038,5.924,1
-79.0,3199.455,-2116.0,3899.0,-399.0,878.0,0
-5.398,7.5085,-106.559,1.271,-5.329,0.285,0
135.0,3709.56,2646.0,2330.0,196.0,1111.0,0
-2.828,64.2096,-23.356,1.487,-3.094,0.069,0
37.123,773.5523,530.456,345.315,56.101,208.859,0
-4.596,10.2395,-8.867,0.584,-1.908,0.009,0
-36.027,18.15,-25.609,60.558,-2.857,2.349,0
9672.0,178663.7255,75619.0,54316.0,16254.0,10581.0,0
-0.253,12.5124,9.891,44.282,0.724,21.139,0
8.079,100.6678,-68.267,24.77,11.835,11.31,1
-74.6,741.6125,-1049.6,586.3,143.4,226.7,0
-179.693,10.6329,-39.111,106.778,-11.539,27.415,1
2.235,161.3896,0.093,13.152,18.065,5.273,1
34.337,286.3718,120.881,30.402,0.49,16.002,1
38.596,353.9479,181.885,292.61,66.832,91.494,1
209.248,243.1457,20.51,165.035,-1.17,45.003,0
306.7,3222.9018,1334.8,1445.6,488.6,558.7,0
2.79,109.431,18.583,58.184,6.282,19.159,1
1.457,115.4441,27.71,53.417,3.725,38.827,1
-0.217,1.4995,-3.867,0.124,0.236,0.039,1
256.0,2503.2068,-99.0,2014.0,694.0,534.0,1
-4.236,4.1016,-15.473,0.048,-4.486,0.018,1
315.109,1513.9452,469.672,152.145,354.292,80.991,1
13.226,1155.463,-83.733,203.665,82.524,65.337,0
-479.162,175.501,-724.07,100.036,-188.749,14.749,1
-12.722,73.9379,-288.467,1.398,-11.486,0.107,1
-50.41,184.134,-307.222,197.818,-51.479,82.152,0
-7.623,6.0431,-35.972,30.278,-10.249,11.225,1
353.038,5437.0625,1856.995,3792.764,455.425,657.706,0
-2.558,79.4628,-70.594,204.287,21.234,16.444,1
5.051,1.648,-25.243,14.657,-4.113,2.444,1
2277.658,47267.455,3643.579,6772.56,3704.7,249.131,0
-3.842,24.5496,-15.024,3.289,-3.844,1.96,0
-0.527,11.0626,-26.19,0.383,-0.527,0.006,1
-1.819,1.2488,-4.921,0.648,-1.1,0.451,0
-6.146,4.0648,17.253,9.849,-3.629,1.272,1
-28.658,153.3312,-188.935,71.83,-32.738,1.301,0
-14.863,290.6184,-109.219,61.179,-15.399,0.0,1
-5.229,161.8035,51.294,12.003,-8.987,7.695,1
-1.038,6.2744,-15.6,2.465,-0.525,2.021,0
43.001,848.0006,195.101,249.47,92.23,60.374,1
-0.114,18.8712,-9.968,0.273,-0.116,0.08,1
12.974,436.3947,40.204,8.611,22.473,7.006,0
40.441,1161.1892,295.676,340.831,126.123,173.161,0
30.681,502.2992,154.083,167.185,32.698,112.363,1
9.569,3014.83,-235.783,408.577,155.112,309.826,0
48.029,1359.8692,294.038,868.182,81.443,94.828,0
-14.453,18.816,-32.455,27.361,12.9,2.99,1
-30.143,165.9948,-113.746,67.043,-30.039,7.133,0
-16.37,1.3121,-15.442,6.094,-4.474,3.588,0
-4.616,16.7067,-16.122,90.838,5.589,44.448,1
-141.405,88.7144,-111.287,114.408,16.269,85.197,1
-0.739,4.586,7.575,28.751,0.414,14.667,0
392.0,13806.3844,2874.0,3887.0,2615.0,1918.0,1
-170.522,110.6204,-1169.167,133.968,-41.33,22.917,1
59.726,916.773,417.805,522.349,55.973,298.565,0
-2.122,9.3891,-45.469,43.735,-0.606,22.017,1
0.544,3.4713,-0.503,1.126,0.315,0.352,0
-1.188,5.4204,-91.126,7.654,-0.785,1.418,0
1.487,9.8753,-3.122,20.771,3.122,13.289,0
366.055,7341.3086,2244.905,1069.618,564.964,341.177,1
5.56,70.016,134.956,219.019,26.817,71.559,1
-6.661,40.524,-232.933,7.926,-5.797,5.145,0
1.912,20.7649,-2.493,4.739,-0.115,2.535,0
-12.294,65.8908,69.061,87.891,-11.658,46.741,1
327.0,16101.03,-1512.0,4447.0,304.0,753.0,0
-38.383,202.4211,-158.016,93.48,-26.573,3.371,1
-151.892,591.5085,-1170.184,51.332,-132.735,11.448,1
6.347,365.2188,63.48,290.774,22.047,84.344,0
4.248,67.0905,-182.725,43.796,2.654,10.701,0
20.611,288.1306,134.699,159.567,35.104,105.587,0
-451.996,492.1269,-603.539,222.896,-435.198,30.437,1
2.203,66.132,3.871,16.827,6.537,13.532,0
-52.87,156.0226,-484.621,166.136,-27.784,31.339,1
-6.091,24.662,-139.91,13.014,-2.83,3.765,1
544.9,12977.384,362.0,2706.6,914.4,377.3,0
2.5,523.0201,-303.5,212.6,156.3,165.0,0
3.807,65.56,44.341,61.965,5.77,17.797,0
-20.282,9.1331,-582.196,4.256,-19.188,0.426,1
155.441,2304.8404,540.498,557.487,226.773,365.756,0
-40.122,0.2912,-116.5,0.239,-23.446,0.1,1
-2.186,181.391,-2.186,130.279,68.071,95.173,1
-25.678,60.9022,-112.337,20.221,-27.415,1.226,0
-67.261,280.1125,37.331,297.31,19.698,182.359,1
-7.96,8.0305,-132.489,33.695,3.151,13.574,1
-3.075,0.1425,-57.566,1.391,-0.217,1.201,1
-5.756,4.5078,-59.457,0.255,-1.809,0.0,0
112.322,1702.7221,144.6,237.556,209.305,142.647,1
-3.848,150.4777,-16.064,20.659,-3.305,3.645,1
70.832,1159.6989,775.125,184.412,201.472,116.916,1
-0.69,7.6762,0.908,7.776,-0.772,3.584,0
-9.727,59.3021,-198.229,3.05,-9.448,0.286,1
-0.097,2.9976,-86.463,1.629,-0.097,0.002,1
0.278,0.4088,-12.756,13.93,0.49,3.851,0
-28.212,131.2,-44.428,76.136,-23.313,61.658,1
-1.988,1.8441,-5.875,3.06,-1.538,0.386,0
57.997,2142.871,701.489,248.367,173.839,190.717,1
23.18,406.357,-1.285,210.736,52.439,104.585,0
